step:304/3080 train_time:176.906s step_avg:581.93ms
step:305/3080 train_time:177.255s step_avg:581.16ms
step:306/3080 train_time:177.605s step_avg:580.41ms
step:307/3080 train_time:177.951s step_avg:579.65ms
step:308/3080 train_time:178.299s step_avg:578.89ms
step:309/3080 train_time:178.650s step_avg:578.15ms
step:310/3080 train_time:178.996s step_avg:577.41ms
step:311/3080 train_time:179.343s step_avg:576.66ms
step:312/3080 train_time:179.690s step_avg:575.93ms
step:313/3080 train_time:180.038s step_avg:575.20ms
step:314/3080 train_time:180.386s step_avg:574.48ms
step:315/3080 train_time:180.734s step_avg:573.76ms
step:316/3080 train_time:181.082s step_avg:573.04ms
step:317/3080 train_time:181.430s step_avg:572.33ms
step:318/3080 train_time:181.779s step_avg:571.63ms
step:319/3080 train_time:182.126s step_avg:570.93ms
step:320/3080 train_time:182.473s step_avg:570.23ms
step:321/3080 train_time:182.821s step_avg:569.53ms
step:322/3080 train_time:183.169s step_avg:568.85ms
step:323/3080 train_time:183.518s step_avg:568.17ms
step:324/3080 train_time:183.866s step_avg:567.49ms
step:325/3080 train_time:184.214s step_avg:566.81ms
step:326/3080 train_time:184.561s step_avg:566.14ms
step:327/3080 train_time:184.909s step_avg:565.47ms
step:328/3080 train_time:185.260s step_avg:564.82ms
step:329/3080 train_time:185.605s step_avg:564.15ms
step:330/3080 train_time:185.954s step_avg:563.50ms
step:331/3080 train_time:186.300s step_avg:562.84ms
step:332/3080 train_time:186.649s step_avg:562.20ms
step:333/3080 train_time:186.997s step_avg:561.55ms
step:334/3080 train_time:187.345s step_avg:560.91ms
step:335/3080 train_time:187.694s step_avg:560.28ms
step:336/3080 train_time:188.043s step_avg:559.65ms
step:337/3080 train_time:188.390s step_avg:559.02ms
step:338/3080 train_time:188.738s step_avg:558.40ms
step:339/3080 train_time:189.087s step_avg:557.78ms
step:340/3080 train_time:189.436s step_avg:557.16ms
step:341/3080 train_time:189.784s step_avg:556.55ms
step:342/3080 train_time:190.131s step_avg:555.94ms
step:343/3080 train_time:190.480s step_avg:555.34ms
step:344/3080 train_time:190.828s step_avg:554.73ms
step:345/3080 train_time:191.177s step_avg:554.14ms
step:346/3080 train_time:191.525s step_avg:553.54ms
step:347/3080 train_time:191.871s step_avg:552.94ms
step:348/3080 train_time:192.220s step_avg:552.36ms
step:349/3080 train_time:192.568s step_avg:551.77ms
step:350/3080 train_time:192.916s step_avg:551.19ms
step:351/3080 train_time:193.264s step_avg:550.61ms
step:352/3080 train_time:193.612s step_avg:550.03ms
step:353/3080 train_time:193.961s step_avg:549.46ms
step:354/3080 train_time:194.310s step_avg:548.90ms
step:355/3080 train_time:194.658s step_avg:548.33ms
step:356/3080 train_time:195.006s step_avg:547.77ms
step:357/3080 train_time:195.353s step_avg:547.21ms
step:358/3080 train_time:195.703s step_avg:546.66ms
step:359/3080 train_time:196.052s step_avg:546.10ms
step:360/3080 train_time:196.400s step_avg:545.56ms
step:361/3080 train_time:196.748s step_avg:545.01ms
step:362/3080 train_time:197.096s step_avg:544.46ms
step:363/3080 train_time:197.444s step_avg:543.92ms
step:364/3080 train_time:197.793s step_avg:543.39ms
step:365/3080 train_time:198.142s step_avg:542.85ms
step:366/3080 train_time:198.488s step_avg:542.32ms
step:367/3080 train_time:198.835s step_avg:541.79ms
step:368/3080 train_time:199.187s step_avg:541.27ms
step:369/3080 train_time:199.534s step_avg:540.74ms
step:370/3080 train_time:199.881s step_avg:540.22ms
step:371/3080 train_time:200.229s step_avg:539.70ms
step:372/3080 train_time:200.578s step_avg:539.19ms
step:373/3080 train_time:200.927s step_avg:538.68ms
step:374/3080 train_time:201.274s step_avg:538.16ms
step:375/3080 train_time:201.621s step_avg:537.66ms
step:376/3080 train_time:201.969s step_avg:537.15ms
step:377/3080 train_time:202.316s step_avg:536.65ms
step:378/3080 train_time:202.663s step_avg:536.15ms
step:379/3080 train_time:203.012s step_avg:535.65ms
step:380/3080 train_time:203.359s step_avg:535.16ms
data shard loaded: /root/muoff/data/fineweb10B/fineweb_train_000003.bin (100000000 tokens)
step:381/3080 train_time:203.734s step_avg:534.74ms
step:382/3080 train_time:204.083s step_avg:534.25ms
step:383/3080 train_time:204.432s step_avg:533.77ms
step:384/3080 train_time:204.779s step_avg:533.28ms
step:385/3080 train_time:205.128s step_avg:532.80ms
step:386/3080 train_time:205.475s step_avg:532.32ms
step:387/3080 train_time:205.822s step_avg:531.84ms
step:388/3080 train_time:206.169s step_avg:531.36ms
step:389/3080 train_time:206.518s step_avg:530.89ms
step:390/3080 train_time:206.865s step_avg:530.42ms
step:391/3080 train_time:207.213s step_avg:529.96ms
step:392/3080 train_time:207.562s step_avg:529.49ms
step:393/3080 train_time:207.909s step_avg:529.03ms
step:394/3080 train_time:208.257s step_avg:528.57ms
step:395/3080 train_time:208.604s step_avg:528.11ms
step:396/3080 train_time:208.953s step_avg:527.66ms
step:397/3080 train_time:209.303s step_avg:527.21ms
step:398/3080 train_time:209.650s step_avg:526.76ms
step:399/3080 train_time:209.998s step_avg:526.31ms
step:400/3080 train_time:210.345s step_avg:525.86ms
step:401/3080 train_time:210.692s step_avg:525.42ms
step:402/3080 train_time:211.041s step_avg:524.98ms
step:403/3080 train_time:211.388s step_avg:524.54ms
step:404/3080 train_time:211.736s step_avg:524.10ms
step:405/3080 train_time:212.084s step_avg:523.66ms
step:406/3080 train_time:212.435s step_avg:523.24ms
step:407/3080 train_time:212.784s step_avg:522.81ms
step:408/3080 train_time:213.132s step_avg:522.38ms
step:409/3080 train_time:213.478s step_avg:521.95ms
step:410/3080 train_time:213.826s step_avg:521.53ms
step:411/3080 train_time:214.176s step_avg:521.11ms
step:412/3080 train_time:214.524s step_avg:520.69ms
step:413/3080 train_time:214.871s step_avg:520.27ms
step:414/3080 train_time:215.219s step_avg:519.85ms
step:415/3080 train_time:215.567s step_avg:519.44ms
step:416/3080 train_time:215.915s step_avg:519.03ms
step:417/3080 train_time:216.263s step_avg:518.62ms
step:418/3080 train_time:216.611s step_avg:518.21ms
step:419/3080 train_time:216.959s step_avg:517.80ms
step:420/3080 train_time:217.308s step_avg:517.40ms
step:421/3080 train_time:217.656s step_avg:517.00ms
step:422/3080 train_time:218.004s step_avg:516.60ms
step:423/3080 train_time:218.352s step_avg:516.20ms
step:424/3080 train_time:218.699s step_avg:515.80ms
step:425/3080 train_time:219.047s step_avg:515.41ms
step:426/3080 train_time:219.395s step_avg:515.01ms
step:427/3080 train_time:219.743s step_avg:514.62ms
step:428/3080 train_time:220.092s step_avg:514.23ms
step:429/3080 train_time:220.440s step_avg:513.85ms
step:430/3080 train_time:220.788s step_avg:513.46ms
